,continents,country,population,new_cases,active_cases,critical_cases,recovered_cases,1M_pop_cases,total_cases,new_deaths,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests,day,time
175,Africa,Chad,16391677.0,+5,67,0,706,51,844,+1,4,71,,,2020-06-09,2020-06-09T18:00:07+00:00
176,Africa,Djibouti,987070.0,+53,2158,0,2139,4388,4331,+3,34,34,36975,36497.0,2020-06-09,2020-06-09T18:00:07+00:00
177,Africa,Eritrea,,,0,0,39,11,39,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
178,Africa,Gambia,2411580.0,+2,6,0,21,12,28,,0.4,1,791,1907.0,2020-06-09,2020-06-09T18:00:07+00:00
179,Europe,Vatican-City,801.0,,0,0,12,14981,12,,,0,,,2020-06-09,2020-06-09T18:00:07+00:00
180,North-America,Montserrat,,,0,0,10,2204,11,,,1,,61.0,2020-06-09,2020-06-09T18:00:07+00:00
181,Africa,Niger,24136909.0,,39,0,869,40,973,,3,65,257,6215.0,2020-06-09,2020-06-09T18:00:07+00:00
182,Oceania,Papua-New-Guinea,8931936.0,,0,0,8,0.9,8,,,0,520,4646.0,2020-06-09,2020-06-09T18:00:07+00:00
183,North-America,St-Vincent-Grenadines,110917.0,+1,11,0,16,243,27,,,0,5752,638.0,2020-06-09,2020-06-09T18:00:07+00:00
184,North-America,Sint-Maarten,42840.0,,1,1,61,1797,77,,350,15,10971,470.0,2020-06-09,2020-06-09T18:00:07+00:00
185,Africa,Somalia,15861260.0,+48,1842,2,489,152,2416,+1,5,85,,,2020-06-09,2020-06-09T18:00:07+00:00
186,Africa,Eswatini,1159413.0,+31,136,5,232,320,371,,3,3,5650,6551.0,2020-06-09,2020-06-09T18:00:07+00:00
187,Asia,Timor-Leste,1316345.0,,0,0,24,18,24,,,0,1191,1568.0,2020-06-09,2020-06-09T18:00:07+00:00
188,Africa,Uganda,45633864.0,+11,539,0,118,14,657,,,0,2283,104160.0,2020-06-09,2020-06-09T18:00:07+00:00
189,All,All,,+72037,3275849,53984,3575557,932,7262484,+2838,52.7,411078,,,2020-06-09,2020-06-09T18:00:07+00:00
190,Africa,Mozambique,31192256.0,+20,315,0,136,15,453,,0.06,2,487,15190.0,2020-06-09,2020-06-09T18:00:07+00:00
191,Asia,Syria,17470870.0,+2,78,0,62,8,146,,0.3,6,,,2020-06-09,2020-06-09T18:00:07+00:00
192,North-America,Grenada,112491.0,,1,1,22,204,23,,,0,36714,4130.0,2020-06-09,2020-06-09T18:00:07+00:00
193,North-America,Dominica,71973.0,,2,0,16,250,18,,,0,7419,534.0,2020-06-09,2020-06-09T18:00:07+00:00
194,North-America,Turks-and-Caicos,38679.0,,0,0,11,310,12,,26,1,4964,192.0,2020-06-09,2020-06-09T18:00:07+00:00
195,North-America,Belize,397068.0,+1,1,0,16,48,19,,5,2,4385,1741.0,2020-06-09,2020-06-09T18:00:07+00:00
196,Asia,Myanmar,54387686.0,+2,81,0,159,5,246,,0.1,6,721,39211.0,2020-06-09,2020-06-09T18:00:07+00:00
